,amm_FEB,amm_MAY,amm_OCT,amo_FEB,amo_APR,amo_SEP,ao_APR,ao_OCT,epo_FEB,epo_JUN,epo_AUG,epo_SEP,ngst_FEB,ngst_OCT,mdrolr_OCT,mdrslp_JAN,mdrslp_OCT,nao_MAY,pna_JUL,pna_OCT,sfi_FEB,soi_JUN,tna_FEB,tna_MAY,tna_AUG,tna_NOV,tsa_MAR,tsa_SEP,tsa_NOV,whwp_JUL,whwp_AUG,whwp_DEC,wpi_DEC,nino4_JUL,roni_MAY,gomslp_MAR,gomslp_JUL,gomslp_OCT,gomolr_MAY,mdrt200_OCT,mdru850_OCT,mdrv200_JUN,mdrv200_JUL,mdrv200_AUG,mdrv850_MAR,mdrv850_JUL,mdrv850_AUG,gomu850_JUL,gomv200_NOV,nino34_forecast_JUN,nino34_forecast_JUL,nino34_forecast_AUG
31,-0.22,0.31,-0.9,0.0,-0.05,0.05,1.454,-1.167,1.16,-0.82,0.7,-0.4,16,23.0,244.876,1015.089,1013.34,-0.44,-1.02,-1.43,2142,2.0,-0.07,-0.03,0.09,0.13,-0.21,0.2,0.26,-0.74,-0.42,-0.14,0.74,28.17,0.83,1015.187,1015.799,1015.439,256.85,-53.227,-5.552,0.438,0.206,-0.322,-0.529,0.142,0.551,-3.079,3.239,0.8,0.64,0.93
32,-3.18,1.11,-3.12,0.1,0.17,-0.22,-0.738,-0.211,-0.31,0.1,0.54,0.54,35,0.0,244.196,1015.037,1013.893,-0.01,0.49,-0.86,1226,-1.7,-0.02,0.17,-0.3,-0.46,-0.14,-0.31,-0.28,-0.45,-2.01,0.47,1.42,29.03,1.19,1011.542,1016.383,1015.617,273.727,-53.572,-6.391,-0.088,0.532,0.983,0.646,0.453,0.224,-3.097,-0.843,0.82,0.17,-0.04
33,-2.97,-1.77,-0.4,0.07,-0.04,-0.02,-0.284,1.369,-1.41,-0.95,-1.43,-0.56,2,12.0,243.786,1015.334,1014.074,0.55,0.82,0.26,1406,0.1,-0.2,-0.16,0.01,0.05,0.79,0.04,0.06,3.36,1.96,0.28,-0.8,28.63,-0.5,1015.125,1016.348,1016.291,256.021,-53.778,-6.468,-1.285,0.261,0.425,-0.83,0.458,0.399,-3.842,5.354,-0.63,-0.24,-0.04
34,-2.71,-4.94,-3.14,-0.26,-0.33,-0.1,0.652,-0.27,-2.41,-0.76,0.85,1.25,-30,8.0,240.405,1015.595,1013.726,-0.4,-2.61,-0.53,737,-0.6,-0.37,-0.7,-0.28,-0.46,0.14,0.84,0.31,-3.1,-4.28,-0.32,0.6,28.3,-0.69,1016.834,1015.613,1016.036,272.86,-53.85,-6.52,-0.012,-0.069,0.167,-0.665,0.167,0.339,-2.998,1.542,-0.65,-0.47,-0.35
35,-4.4,-4.42,-1.1,-0.25,-0.31,-0.19,0.103,1.035,0.83,-0.75,1.15,-0.22,31,2.0,242.669,1016.325,1013.245,0.84,-0.19,-1.5,836,-0.6,-0.63,-0.54,-0.08,-0.08,0.38,0.02,0.24,-2.29,-2.79,-0.25,-0.96,28.18,-0.28,1017.777,1016.28,1014.078,257.643,-53.856,-6.983,0.616,0.421,0.015,-0.255,0.085,0.224,-2.216,9.167,-0.01,0.17,0.51
36,-2.74,0.57,-2.34,-0.09,0.16,-0.28,0.387,1.425,-0.49,0.23,2.55,0.87,50,9.0,238.415,1015.711,1014.215,0.96,-0.35,1.18,715,1.6,-0.17,0.37,-0.41,-0.6,0.16,0.3,-0.17,-1.29,-2.29,0.01,-0.17,28.82,0.71,1013.828,1017.771,1016.591,265.961,-53.533,-6.074,0.45,0.809,0.111,0.32,0.234,0.355,-2.934,2.155,1.21,1.57,1.76
37,-2.51,0.48,0.58,-0.01,0.17,0.33,-0.561,-0.08,-0.13,-1.09,0.97,0.49,46,22.0,237.272,1016.084,1012.97,0.64,-0.43,0.75,1050,-1.8,-0.02,0.29,0.56,0.36,0.77,0.32,0.63,4.02,5.14,0.72,1.75,29.38,-1.52,1017.447,1015.978,1017.077,270.396,-52.385,-5.59,0.363,0.281,0.218,-0.803,0.312,0.249,-3.893,5.864,-1.44,-1.45,-0.99
38,-2.84,-4.45,-0.28,0.1,-0.16,-0.03,-0.25,0.032,2.34,-0.93,0.44,-0.19,39,23.0,236.015,1015.829,1012.783,1.33,1.6,0.89,2224,0.1,-0.48,-0.66,0.03,-0.23,0.35,0.3,0.14,-0.38,-0.96,-0.2,-0.67,27.96,-0.6,1016.399,1016.72,1016.774,281.108,-52.988,-5.73,0.332,0.209,-0.263,-0.656,-0.151,0.187,-2.683,4.996,-0.29,-0.3,-0.33
39,-1.27,0.61,0.54,0.02,0.1,0.09,1.879,0.991,-1.86,0.09,1.32,0.66,54,25.0,244.047,1015.624,1013.89,-1.37,-0.59,-1.08,1783,1.2,-0.1,0.13,0.39,-0.04,0.32,0.21,-0.06,-1.33,-0.95,0.02,-1.98,28.05,0.28,1018.301,1016.461,1016.505,269.25,-53.363,-5.54,1.13,0.215,0.403,-0.115,0.234,0.134,-2.455,6.87,0.21,0.37,0.42
40,-1.19,-4.43,1.35,0.04,-0.05,0.33,0.53,0.66,0.31,0.71,-0.39,0.78,57,48.0,237.258,1016.298,1012.982,0.12,-0.26,-0.91,2430,0.5,-0.11,-0.42,0.3,0.33,0.14,-0.07,0.17,0.62,0.45,0.02,0.61,28.92,0.43,1013.25,1016.435,1015.529,250.061,-52.803,-5.109,0.765,0.516,-0.072,-0.463,0.081,0.266,-2.908,1.61,0.65,0.86,0.69
